(2021-09-02 10:04:41 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'"
(2021-09-02 10:04:42 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = 'danhao1'"
(2021-09-02 10:05:18 周四)          Critical: File:() Line:(0) No text-to-speech plug-ins were found.
(2021-09-02 10:05:20 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "update GunManager.dbo.BoxPackedDetailsTable set 单装编号 = '653423123',缺失情况 = '枪机/套筒缺失,备份枪管缺失' where GunManager.dbo.BoxPackedDetailsTable.序号 = 3 and GunManager.dbo.BoxPackedDetailsTable.装箱单号 = '2'"
(2021-09-02 10:05:25 周四)          Critical: File:() Line:(0) No text-to-speech plug-ins were found.
(2021-09-02 10:05:27 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "update GunManager.dbo.BoxPackedDetailsTable set 单装编号 = '12312.22',缺失情况 = '' where GunManager.dbo.BoxPackedDetailsTable.序号 = 4 and GunManager.dbo.BoxPackedDetailsTable.装箱单号 = '3'"
(2021-09-02 10:05:30 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = 'danhao1'"
(2021-09-02 10:05:45 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = 'danhao1'"
(2021-09-02 10:12:52 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '123' and 军官证号 = '123'"
(2021-09-02 10:12:53 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'"
(2021-09-02 10:12:54 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = 'danhao1'"
(2021-09-02 10:13:01 周四)          Critical: File:() Line:(0) No text-to-speech plug-ins were found.
(2021-09-02 10:13:02 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "update GunManager.dbo.BoxPackedDetailsTable set 单装编号 = '452124',缺失情况 = '枪机/套筒缺失,备份枪管缺失' where GunManager.dbo.BoxPackedDetailsTable.序号 = 3 and GunManager.dbo.BoxPackedDetailsTable.装箱单号 = '3'"
(2021-09-02 10:13:24 周四)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = 'danhao1'"
