(2021-09-03 14:25:08 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%'"
(2021-09-03 14:25:32 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%'"
(2021-09-03 14:26:22 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 = 'test2' and 调拨凭证号 = 'test22' and 装备代码 = 'test222'"
(2021-09-03 14:26:22 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "insert GunManager.dbo.SinglePackedTable values('test2','test22','test222','test2222','','','test22222','test222222','1995-2-10','2020-5-21','未出库','2021-1-1')"
(2021-09-03 14:26:25 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%'"
(2021-09-03 14:26:35 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%'"
(2021-09-03 14:27:48 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 = 'est1' and 调拨凭证号 = 'est11' and 装箱单号 = 'est111'"
(2021-09-03 14:27:48 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = 'est111'"
(2021-09-03 14:27:48 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "insert GunManager.dbo.BoxPackedTable values('est1','est11','est111','est1111','est11111','est111111','est1111111','1995-1-4','2005-1-7',15)"
(2021-09-03 14:27:48 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "insert into GunManager.dbo.BoxPackedDetailsTable values (1,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(2,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(3,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(4,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(5,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(6,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(7,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(8,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(9,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(10,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(11,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(12,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(13,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(14,'est111','est1111','est11111','','','未出库' ,'1900-1-1'),(15,'est111','est1111','est11111','','','未出库','1900-1-1')"
